date	resort	author	article	article-cicker	workload-index	
31.12.2019 21:40:00	international	APA	USA schicken nach Angriff auf Botschaft Verstärkung nach Bagdad	Eskalation	24197
31.12.2019 17:28:00	international	APA	Ortega lässt zu Silvester 91 Regierungsgegner frei	Nicaragua	3786
31.12.2019 10:24:00	international	APA	US-Diplomatin: Auch Stalin für Zweiten Weltkrieg verantwortlich	Geschichte	7537
31.12.2019 09:23:00	international	APA	Erdoğan will Truppen nach Libyen schicken	Krieg	10185
31.12.2019 08:56:00	international	APA	Britische Regierung hebt Mindestlohn deutlich an	Großbritannien	3820
31.12.2019 17:28:00	international	dpa	Ortega lässt zu Silvester 91 Regierungsgegner frei	Nicaragua	3786
31.12.2019 13:00:00	international	Susann Kreutzmann aus São Paulo	Brasiliens Präsident spaltet die Nation	Ein Jahr im Amt	12400
31.12.2019 15:33:00	inland	APA	SPÖ schießt sich schon auf die neue Regierungsmannschaft ein	Oppositionelle Kritik	6553
31.12.2019 14:37:00	inland	Fabian Schmid	Ökosteuer, Umweltschutz und Transparenz: Was aus den Koalitionsverhandlungen bisher bekannt ist	Türkis-Grün	10193
31.12.2019 14:37:00	inland	Michael Völker	Ökosteuer, Umweltschutz und Transparenz: Was aus den Koalitionsverhandlungen bisher bekannt ist	Türkis-Grün	10193
31.12.2019 08:00:00	inland	Michael Völker	Grüne Vize-Klubchefin Dziedzic: "Werden strittige Themen nicht unter den Teppich kehren"	Koalition	12419
31.12.2019 14:37:00	inland	Andreas Schnauder	Ökosteuer, Umweltschutz und Transparenz: Was aus den Koalitionsverhandlungen bisher bekannt ist	Türkis-Grün	10193
31.12.2019 11:45:00	inland	Andreas Schnauder	Ministerin für Arbeit, Familie und Jugend: Christine Aschbacher	Regierungsbildung	11591
31.12.2019 14:37:00	inland	Nora Laufer	Ökosteuer, Umweltschutz und Transparenz: Was aus den Koalitionsverhandlungen bisher bekannt ist	Türkis-Grün	10193
31.12.2019 14:00:00	inland	Conrad Seidl	Verteidigungsministerin: Klaudia Tanner, in Bauerndiskussionen gestählte Managerin	Portrait	8368
31.12.2019 12:00:00	inland	Conrad Seidl	Ein Minister braucht Macht und Wissensmanagement	Hintergrund	8164
31.12.2019 11:45:00	inland	Conrad Seidl	Ministerin für Arbeit, Familie und Jugend: Christine Aschbacher	Regierungsbildung	11591
31.12.2019 14:00:00	inland	Gabriele Scherndl	Verteidigungsministerin: Klaudia Tanner, in Bauerndiskussionen gestählte Managerin	Portrait	8368
31.12.2019 08:00:00	inland	Gabriele Scherndl	Susanne Raab, Integrationsministerin mit stringenter Linie	Regierungsbildung	8677
31.12.2019 13:40:00	inland	red	Ermittlungen gegen Strache wegen Verdachts auf Veruntreuung	Mandatskauf	6690
31.12.2019 13:24:00	inland	red	Alma Zadić soll Justizministerin werden	Koalition	6568
31.12.2019 17:00:00	wirtschaft	André Ballin	Kreml nimmt IT-Riese Yandex an die Kandare	Internetriese	9311
31.12.2019 15:45:00	wirtschaft	APA	Trump: Handelsabkommen mit China wird am 15. Jänner unterzeichnet	Zollstreit	7728
31.12.2019 09:37:00	wirtschaft	APA	Früherer Renault-Nissan-Chef Ghosn überraschend aus Japan getürmt	Abgesetzt	13335
31.12.2019 15:45:00	wirtschaft	dpa	Trump: Handelsabkommen mit China wird am 15. Jänner unterzeichnet	Zollstreit	7728
31.12.2019 10:00:00	wirtschaft	Alexander Hahn	Tourismusexperte: "Der Gast muss lernen, dass Zeit bepreist werden muss"	Qualität statt Quantität	23365
31.12.2019 16:41:00	web	red	Apple soll gegen Jailbreaking vorgehen	Software	4613
31.12.2019 13:18:00	web	red	Kritik an Sonos wegen "Recyclingmodus", der Geräte unbrauchbar macht	Kontroverse	6816
